Date,Open,High,Low,Close,Adj Close,Volume
2022-11-28,1.200000,1.240000,1.150000,1.194000,1.194000,509400
2022-11-29,1.170000,1.220000,1.110000,1.150000,1.150000,599200
2022-11-30,1.130000,1.250000,1.100000,1.210000,1.210000,675700
2022-12-01,1.260000,1.330000,1.040000,1.050000,1.050000,2821300
2022-12-02,1.060000,1.110000,1.000000,1.040000,1.040000,929000
2022-12-05,1.020000,1.090000,0.890000,0.937000,0.937000,1786300
2022-12-06,0.937000,0.960000,0.880000,0.894000,0.894000,497800
2022-12-07,0.882000,0.914000,0.882000,0.904000,0.904000,397800
2022-12-08,0.911000,1.200000,0.902000,1.120000,1.120000,3960700
2022-12-09,1.080000,1.110000,0.980000,1.000000,1.000000,907200
